status_published,id,participation
"2018-04-22 06:00:00",1,1303
"2018-04-21 22:45:00",2,150
"2018-04-21 06:17:00",3,520
"2018-04-21 02:29:00",4,111
"2018-04-18 03:22:00",5,213
"2018-04-18 02:14:00",6,223
"2018-04-18 00:24:00",7,1189
"2018-04-17 07:42:00",8,801
"2018-04-17 03:33:00",9,204
"2018-04-11 04:53:00",10,180
"2018-04-10 01:01:00",11,215
"2018-04-09 02:06:00",12,226
"2018-04-08 05:10:00",13,319
"2018-04-08 02:23:00",14,213
"2018-04-05 09:23:00",15,357
"2018-04-01 05:16:00",16,462
"2018-03-30 08:28:00",17,470
"2018-03-26 08:28:00",18,370
"2018-03-23 07:09:00",19,423
"2018-03-22 01:25:00",20,154
"2018-03-21 08:40:00",21,250
"2018-03-21 07:46:00",22,235
"2018-03-20 01:54:00",23,98
"2018-03-20 01:28:00",24,18
"2018-03-20 00:15:00",25,102
"2018-03-19 22:34:00",26,38
"2018-03-17 08:07:00",27,125
"2018-03-17 07:47:00",28,177
"2018-03-12 05:51:00",29,154
"2018-03-09 07:45:00",30,584
"2018-03-09 05:55:00",31,85
"2018-03-07 13:10:00",32,59
"2018-03-07 06:13:00",33,92
"2018-03-07 04:46:00",34,126
"2018-03-05 08:32:00",35,123
"2018-03-05 02:48:00",36,301
"2018-03-02 09:55:00",37,291
"2018-02-28 08:19:00",38,112
"2018-02-28 01:43:00",39,83
"2018-02-26 08:50:00",40,491
"2018-02-25 10:13:00",41,185
"2018-02-21 00:19:00",42,187
"2018-02-19 00:11:00",43,438
"2018-02-18 07:15:00",44,469
"2018-02-17 22:30:00",45,287
"2018-02-17 04:15:00",46,865
"2018-02-15 03:47:00",47,454
"2018-02-14 08:23:00",48,199
"2018-02-13 01:16:00",49,467
"2018-02-12 03:28:00",50,789
"2018-02-11 05:55:00",51,91
"2018-02-10 07:54:00",52,219
"2018-02-09 01:48:00",53,134
"2018-02-08 09:14:00",54,606
"2018-02-07 08:35:00",55,348
"2018-02-06 08:46:00",56,571
"2018-02-05 09:20:00",57,541
"2018-02-04 03:25:00",58,278
"2018-02-03 08:34:00",59,194
"2018-02-02 09:24:00",60,605
"2018-02-02 07:08:00",61,271
"2018-02-02 06:01:00",62,404
"2018-01-28 07:50:00",63,550
"2018-01-28 05:25:00",64,580
"2018-01-26 13:03:00",65,79
"2018-01-26 13:02:00",66,118
"2018-01-26 08:47:00",67,513
"2018-01-25 08:40:00",68,916
"2018-01-23 09:04:00",69,365
"2018-01-22 09:37:00",70,501
"2018-01-22 09:15:00",71,57
"2018-01-21 09:10:00",72,573
"2018-01-20 23:10:00",73,529
"2018-01-20 09:08:00",74,261
"2018-01-19 09:16:00",75,608
"2018-01-19 09:06:00",76,36
"2018-01-18 08:54:00",77,571
"2018-01-18 05:08:00",78,96
"2018-01-17 09:29:00",79,677
"2018-01-16 22:36:00",80,63
"2018-01-16 22:13:00",81,224
"2018-01-16 00:53:00",82,227
"2018-01-13 09:18:00",83,346
"2018-01-11 09:05:00",84,900
"2018-01-10 08:57:00",85,891
"2018-01-02 23:05:00",86,17
"2017-12-26 06:23:00",87,300
"2017-12-24 10:28:00",88,248
"2017-12-21 08:14:00",89,322
"2017-12-10 23:28:00",90,36
"2017-12-08 02:37:00",91,25
"2017-12-07 06:41:00",92,45
"2017-12-05 01:25:00",93,685
"2017-12-04 08:28:00",94,755
"2017-12-03 01:40:00",95,588
"2017-11-22 22:14:00",96,30
"2017-11-21 01:37:00",97,291
"2017-11-21 00:22:00",98,920
"2017-11-18 22:32:00",99,1160
"2017-11-18 01:23:00",100,4225
"2017-11-16 00:01:00",101,93
"2017-11-09 00:32:00",102,47
"2017-11-02 21:22:00",103,27
"2017-10-30 23:46:00",104,37
"2017-10-26 12:02:00",105,172
"2017-10-26 11:53:00",106,147
"2017-10-25 22:45:00",107,179
"2017-10-25 22:29:00",108,221
"2017-10-24 03:55:00",109,233
"2017-10-24 01:20:00",110,472
"2017-10-23 03:52:00",111,568
"2017-10-23 03:23:00",112,232
"2017-10-22 00:38:00",113,1031
"2017-10-21 23:43:00",114,370
"2017-10-21 03:19:00",115,442
"2017-10-20 06:37:00",116,496
"2017-10-20 03:19:00",117,339
"2017-10-19 02:44:00",118,399
"2017-10-18 09:13:00",119,222
"2017-10-18 02:33:00",120,383
"2017-10-17 05:37:00",121,761
"2017-10-17 02:36:00",122,776
"2017-10-17 01:47:00",123,112
"2017-10-16 22:47:00",124,102
"2017-10-16 06:37:00",125,504
"2017-10-16 05:25:00",126,423
"2017-10-15 22:58:00",127,62
"2017-10-15 02:27:00",128,1152
"2017-10-14 10:37:00",129,688
"2017-10-14 03:35:00",130,1216
"2017-10-12 21:43:00",131,300
"2017-10-11 22:21:00",132,41
"2017-10-06 08:04:00",133,26
"2017-10-04 23:19:00",134,28
"2017-10-01 03:31:00",135,41
"2017-10-01 01:05:00",136,34
"2017-09-28 23:21:00",137,16
"2017-09-28 00:12:00",138,19
"2017-09-26 22:39:00",139,47
"2017-09-25 22:52:00",140,60
"2017-09-24 01:58:00",141,712
"2017-09-24 01:52:00",142,166
"2017-09-23 03:56:00",143,268
"2017-09-23 00:09:00",144,881
"2017-09-22 08:48:00",145,851
"2017-09-21 08:22:00",146,140
"2017-09-21 01:50:00",147,326
"2017-09-21 00:26:00",148,114
"2017-09-20 23:43:00",149,183
"2017-09-20 21:25:00",150,611
"2017-09-20 09:47:00",151,661
"2017-09-20 00:19:00",152,346
"2017-09-19 07:39:00",153,799
"2017-09-19 06:44:00",154,344
"2017-09-19 00:40:00",155,335
"2017-09-13 03:48:00",156,201
"2017-09-12 22:34:00",157,50
"2017-09-11 06:14:00",158,47
"2017-09-07 22:52:00",159,72
"2017-09-07 04:21:00",160,970
"2017-09-07 02:02:00",161,155
"2017-09-06 23:14:00",162,176
"2017-09-06 07:33:00",163,65
"2017-09-06 06:22:00",164,167
"2017-09-06 03:48:00",165,835
"2017-09-06 02:02:00",166,176
"2017-09-03 05:39:00",167,5300
"2017-08-31 08:50:00",168,1008
"2017-08-30 08:38:00",169,201
"2017-08-27 09:46:00",170,288
"2017-08-27 04:54:00",171,67
"2017-08-25 07:36:00",172,126
"2017-08-25 02:29:00",173,33
"2017-08-24 02:18:00",174,273
"2017-08-23 06:15:00",175,181
"2017-08-22 10:59:00",176,70
"2017-08-22 10:32:00",177,65
"2017-08-22 01:40:00",178,649
"2017-08-22 00:09:00",179,134
"2017-08-22 00:08:00",180,138
"2017-08-20 04:41:00",181,53
"2017-08-19 23:14:00",182,623
"2017-08-18 11:35:00",183,64
"2017-08-18 11:33:00",184,90
"2017-08-18 08:36:00",185,26
"2017-08-15 09:58:00",186,171
"2017-08-15 09:31:00",187,88
"2017-08-14 07:41:00",188,905
"2017-08-12 02:40:00",189,641
"2017-08-11 20:41:00",190,71
"2017-08-11 00:27:00",191,346
"2017-08-10 23:39:00",192,32
"2017-08-10 09:17:00",193,66
"2017-08-10 03:03:00",194,168
"2017-08-10 01:24:00",195,1033
"2017-08-09 05:14:00",196,54
"2017-08-09 01:45:00",197,189
"2017-08-08 22:24:00",198,507
"2017-08-08 05:13:00",199,1566
"2017-08-07 09:18:00",200,26
"2017-08-06 01:08:00",201,39
"2017-08-06 00:36:00",202,64
"2017-08-05 01:44:00",203,83
"2017-08-03 04:50:00",204,1329
"2017-08-03 04:31:00",205,22
"2017-08-02 22:18:00",206,179
"2017-08-02 06:02:00",207,140
"2017-08-02 02:54:00",208,170
"2017-08-01 23:33:00",209,1803
"2017-08-01 00:57:00",210,67
"2017-07-31 09:50:00",211,42
"2017-07-28 01:10:00",212,36
"2017-07-27 22:48:00",213,49
"2017-07-27 08:08:00",214,20
"2017-07-26 09:01:00",215,1097
